id,custom_date,master_development,sub_loc_1,sub_loc_2,sub_loc_3,sub_loc_4,total_sales_price_val,sales_price_sqft_unit,sales_price_sqm_unit,unit_size_sqft,unit_size_sqm,unit_type,no_beds,custom_view,maid,study,balcony,plot_size_sqft,plot_size_sqm,developer_type,floor_level,evdnc_name,comments,dev_name,unit_no,sale_sequence,data_source,months_since_start,month,year_month,annual_service_charge,is_park_facing,is_pool_adjacent,is_corner_unit,is_single_row,is_end_unit,is_near_amenities,is_road_facing,is_brand_new,is_motivated_seller,is_hot_deal,has_big_plot,has_mortgage_mention,is_upgraded,is_rented,unit_subtype,unit_position,has_maid_room,plot_to_unit_ratio,is_g_plus_2,is_resale,beds_numeric,park_label,corner_label,row_label
10406556,2025-06-16,Mudon,Al Ranim,Al Ranim 1,,,3700000,1441,15510,2568,238.55,Townhouse,3.0,,,,,1871.0,173.84,,G+2,Active Listings,Genuine Resale | G + 2 | Park View | Call Now!,Dubai Properties,,,listing,4.3,2025-06,2025-06,7960.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.7285825545171339,1,0,3.0,Park Facing,Non-Corner,Non-Single Row
10295847,2025-05-07,Mudon,Al Ranim,Al Ranim 1,,,2900000,1308,14078,2217,206.0,Townhouse,3.0,"Community,Road,Walkway",,,,1872.0,173.96,,G+1,Active Listings,Genuine Seller | Single Row | 3BR +M | Elegant Layout,Dubai Properties,,,listing,3.0,2025-05,2025-05,6872.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8443843031123139,0,0,3.0,Not Park Facing,Non-Corner,Single Row
11682635,2025-10-06,Mudon,Al Ranim,Al Ranim 1,,,4500000,1578,16981,2851,265.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,Facing Park I Genuine Resale I Best Deal,Dubai Properties,,,listing,8.0,2025-10,2025-10,8838.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,4.0,Park Facing,Non-Corner,Non-Single Row
11649747,2025-11-05,Mudon,Al Ranim,Al Ranim 1,,,3400000,1534,16505,2217,206.0,Townhouse,3.0,"Community,Road",,,,1924.0,178.71,Type 3B1,G+1,Active Listings,Singel Row | Brand New I Vacant I 3 Bedroom Plus Maid| Al Ranim,Dubai Properties,,,listing,8.9,2025-11,2025-11,6872.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3B1,unknown,0,0.8678394226432116,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
11050506,2025-09-17,Mudon,Al Ranim,Al Ranim 1,,,3200000,1721,18497,1859,173.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Best Deal Price I Single Row I Walk to Park,Dubai Properties,,,listing,7.3,2025-09,2025-09,5762.900000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Single Row
11009934,2025-09-25,Mudon,Al Ranim,Al Ranim 1,,,4149999,1629,17527,2548,236.78,Townhouse,4.0,,,,,2666.0,247.69,,G+1,Active Listings,On The Park and Near to Pool | Corner Unit,Dubai Properties,,,listing,7.6,2025-09,2025-09,7898.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,1.0463108320251178,0,0,4.0,Not Park Facing,Corner Unit,Non-Single Row
12409872,2026-01-13,Mudon,Al Ranim,Al Ranim 1,,,3950000,1539,16558,2567,238.55,Townhouse,3.0,,,,,1898.0,176.33,Type 3B2,G+2,Title Deed,,Dubai Properties,,Resale,transaction,11.2,2026-01,2026-01,7957.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3B2,unknown,0,0.7393844955200624,1,1,3.0,Not Park Facing,Non-Corner,Non-Single Row
9114860,2025-09-23,Mudon,Al Ranim,Al Ranim 1,,,4350000,1707,18371,2548,236.78,Townhouse,4.0,"Community,Green belt,Back to Back",,,,2657.0,246.8,Type: 4B1,G+1,Pending Sales (SPA/MOU),,Dubai Properties,,,pending,7.5,2025-09,2025-09,7898.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4B1,unknown,0,1.042778649921507,0,0,4.0,Not Park Facing,Non-Corner,Non-Single Row
9104251,2025-09-23,Mudon,Al Ranim,Al Ranim 1,,,3225000,1455,15655,2217,206.0,Townhouse,3.0,,,,,1890.0,175.63,,G+1,Title Deed,,Dubai Properties,,Resale,transaction,7.5,2025-09,2025-09,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8525033829499323,0,1,3.0,Not Park Facing,Non-Corner,Non-Single Row
11794972,2025-10-23,Mudon,Al Ranim,Al Ranim 1,,,4200000,1650,17754,2546,236.57,Townhouse,4.0,,,,,2582.0,239.89,,G+1,Title Deed,,Dubai Properties,,Resale,transaction,8.5,2025-10,2025-10,7892.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,1.01413982717989,0,1,4.0,Not Park Facing,Non-Corner,Non-Single Row
10929187,2025-09-02,Mudon,Al Ranim,Al Ranim 1,,,3400000,1534,16505,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,G+1 Townhouse | Prime Location | Viewing Available,Dubai Properties,,,listing,6.8,2025-09,2025-09,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10906171,2025-08-22,Mudon,Al Ranim,Al Ranim 1,,,3800000,1480,15900,2568,239.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Brand New | Vacant | Park Backing,Dubai Properties,,,listing,6.5,2025-08,2025-08,7960.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
